Fecha,Hora (UTC),HR
24-07-2022,10:00,98.0
24-07-2022,11:00,98.0
24-07-2022,12:00,98.0
24-07-2022,13:00,98.0
24-07-2022,14:00,98.0
24-07-2022,15:00,98.0
24-07-2022,16:00,92.0
24-07-2022,17:00,72.0
24-07-2022,18:00,67.0
24-07-2022,19:00,71.0
24-07-2022,20:00,81.0
24-07-2022,21:00,89.0
24-07-2022,22:00,94.0
24-07-2022,23:00,95.0
25-07-2022,0:00,93.0
25-07-2022,1:00,94.4
25-07-2022,2:00,94.8
25-07-2022,3:00,95.0
25-07-2022,4:00,96.3
25-07-2022,5:00,97.0
25-07-2022,6:00,97.0
25-07-2022,7:00,97.7
25-07-2022,8:00,97.9
25-07-2022,9:00,98.0
25-07-2022,10:00,98.0
25-07-2022,11:00,98.0
25-07-2022,12:00,99.0
25-07-2022,13:00,98.0
25-07-2022,14:00,98.0
25-07-2022,15:00,97.0
25-07-2022,16:00,88.0
25-07-2022,17:00,83.0
25-07-2022,18:00,74.0
25-07-2022,19:00,68.0
25-07-2022,20:00,66.0
25-07-2022,21:00,69.0
25-07-2022,22:00,72.0
25-07-2022,23:00,76.0
26-07-2022,0:00,77.0
26-07-2022,1:00,87.0
26-07-2022,2:00,92.4
26-07-2022,3:00,94.0
26-07-2022,4:00,95.1
26-07-2022,5:00,96.0
26-07-2022,6:00,96.0
26-07-2022,7:00,96.7
26-07-2022,8:00,97.2
26-07-2022,9:00,97.0
26-07-2022,10:00,97.0
26-07-2022,11:00,98.0
26-07-2022,12:00,98.0
26-07-2022,13:00,98.0
26-07-2022,14:00,96.0
26-07-2022,15:00,77.0
26-07-2022,16:00,66.0
26-07-2022,17:00,57.0
26-07-2022,18:00,49.0
26-07-2022,19:00,46.0
26-07-2022,20:00,48.0
26-07-2022,21:00,55.0
26-07-2022,22:00,67.0
26-07-2022,23:00,76.0
27-07-2022,0:00,82.0
27-07-2022,1:00,91.4
27-07-2022,2:00,87.0
27-07-2022,3:00,90.0
27-07-2022,4:00,93.6
27-07-2022,5:00,94.2
27-07-2022,6:00,96.0
27-07-2022,7:00,94.2
27-07-2022,8:00,91.6
27-07-2022,9:00,91.0
27-07-2022,10:00,91.0
27-07-2022,11:00,93.0
27-07-2022,12:00,95.0
27-07-2022,13:00,94.0
27-07-2022,14:00,88.0
27-07-2022,15:00,86.0
27-07-2022,16:00,85.0
27-07-2022,17:00,82.0
27-07-2022,18:00,78.0
27-07-2022,19:00,75.0
27-07-2022,20:00,71.0
27-07-2022,21:00,65.0
27-07-2022,22:00,67.0
27-07-2022,23:00,71.0
28-07-2022,0:00,76.0
28-07-2022,1:00,79.8
28-07-2022,2:00,84.3
28-07-2022,3:00,85.0
28-07-2022,4:00,94.5
28-07-2022,5:00,91.8
28-07-2022,6:00,91.0
28-07-2022,7:00,88.6
28-07-2022,8:00,90.9
28-07-2022,9:00,92.0
28-07-2022,10:00,95.0
28-07-2022,11:00,96.0
28-07-2022,12:00,97.0
28-07-2022,13:00,97.0
28-07-2022,14:00,88.0
28-07-2022,15:00,78.0
28-07-2022,16:00,66.0
28-07-2022,17:00,53.0
28-07-2022,18:00,48.0
28-07-2022,19:00,43.0
28-07-2022,20:00,38.0
28-07-2022,21:00,39.0
28-07-2022,22:00,49.0
28-07-2022,23:00,69.0
29-07-2022,0:00,79.0
29-07-2022,1:00,83.6
29-07-2022,2:00,88.3
29-07-2022,3:00,90.0
29-07-2022,4:00,92.6
29-07-2022,5:00,93.6
29-07-2022,6:00,94.0
29-07-2022,7:00,95.2
29-07-2022,8:00,95.8
29-07-2022,9:00,96.0
29-07-2022,10:00,97.0
29-07-2022,11:00,97.0
29-07-2022,12:00,97.0
29-07-2022,13:00,98.0
29-07-2022,14:00,71.0
29-07-2022,15:00,53.0
29-07-2022,16:00,42.0
29-07-2022,17:00,30.0
29-07-2022,18:00,25.0
29-07-2022,19:00,26.0
29-07-2022,20:00,38.0
29-07-2022,21:00,47.0
29-07-2022,22:00,54.0
29-07-2022,23:00,62.0
30-07-2022,0:00,75.0
30-07-2022,1:00,74.4
30-07-2022,2:00,80.8
30-07-2022,3:00,88.0
30-07-2022,4:00,92.8
30-07-2022,5:00,94.5
30-07-2022,6:00,95.0
30-07-2022,7:00,94.8
30-07-2022,8:00,94.2
30-07-2022,9:00,94.0
30-07-2022,10:00,92.0
30-07-2022,11:00,96.0
30-07-2022,12:00,96.0
30-07-2022,13:00,92.0
30-07-2022,14:00,90.0
30-07-2022,15:00,85.0
30-07-2022,16:00,80.0
30-07-2022,17:00,77.0
30-07-2022,18:00,77.0
30-07-2022,19:00,79.0
30-07-2022,20:00,79.0
30-07-2022,21:00,83.0
30-07-2022,22:00,82.0
30-07-2022,23:00,83.0
31-07-2022,0:00,84.0
31-07-2022,1:00,89.2
31-07-2022,2:00,84.9
31-07-2022,3:00,84.0
31-07-2022,4:00,87.3
31-07-2022,5:00,88.6
31-07-2022,6:00,89.0
31-07-2022,7:00,90.0
31-07-2022,8:00,92.3
31-07-2022,9:00,95.0
31-07-2022,10:00,95.0
31-07-2022,11:00,96.0
31-07-2022,12:00,97.0
31-07-2022,13:00,97.0
31-07-2022,14:00,85.0
31-07-2022,15:00,72.0
31-07-2022,16:00,60.0
31-07-2022,17:00,55.0
31-07-2022,18:00,46.0
31-07-2022,19:00,44.0
31-07-2022,20:00,47.0
31-07-2022,21:00,50.0
31-07-2022,22:00,60.0
31-07-2022,23:00,73.0
